"GrantNumber","CallDecisionYear","GrantDurationYears","FundingInstrumentLevel1","AmountGrantedAllSets","AmountPerYear","InstituteCountry","MainDiscipline_Level2","NrTotalUncitableOutputs","NrTotalUncitableOutputsPerYear","NrCitablePublications","NrCitablePublicationsPerYear","NrCitationsTotal","NrCitationsPerPublication"
154238,2013,3,"Programmes",447257,149085.666666667,"Switzerland","Preventive Medicine",3,1,4,1.33333333333333,142,35.5
146217,2013,3,"Projects",440920,146973.333333333,"Switzerland","Basic Medical Sciences",20,6.66666666666667,19,6.33333333333333,1402,73.7894736842105
148112,2013,4.16712328767123,"Careers",542706,130235.16765286,"Switzerland","Basic Medical Sciences",8,1.91978961209731,4,0.959894806048653,45,11.25
147153,2013,4,"Projects",262960,65740,"Switzerland","Clinical Medicine",7,1.75,4,1,94,23.5
146409,2013,3.41917808219178,"Projects",483438,141390.120192308,"Switzerland","Experimental Medicine",0,0,5,1.46233974358974,97,19.4
149628,2013,4,"Projects",320000,80000,"Switzerland","Basic Medical Sciences",9,2.25,1,0.25,5,5
146894,2013,3.41369863013699,"Projects",300960,88162.4398073836,"Switzerland","Clinical Medicine",16,4.68699839486356,3,0.878812199036917,48,16
149966,2013,1.9972602739726,"Projects",257982,129167.942386831,"Switzerland","Experimental Medicine",3,1.50205761316873,1,0.500685871056242,38,38
145763,2013,0.83013698630137,"Careers",50330,60628.5478547855,NA,"Clinical Medicine",0,0,2,2.40924092409241,436,218
150758,2013,2.41917808219178,"Careers",712466,294507.463193658,"Switzerland","Experimental Medicine",29,11.9875424688562,15,6.2004530011325,777,51.8
147023,2013,3,"Projects",226630,75543.3333333333,"Switzerland","Clinical Medicine",9,3,7,2.33333333333333,33,4.71428571428571
149782,2013,1.66027397260274,"Projects",130666,78701.4686468647,"Switzerland","Experimental Medicine",2,1.2046204620462,1,0.602310231023102,21,21
146143,2013,4,"Projects",343360,85840,"Switzerland","Preventive Medicine",8,2,3,0.75,114,38
147628,2013,3.4986301369863,"Projects",491331,140435.250587314,"Switzerland","Clinical Medicine",36,10.2897415818324,6,1.7149569303054,72,12
149587,2013,3.5041095890411,"Projects",474000,135269.741985926,"Switzerland","Preventive Medicine",0,0,1,0.285379202501954,25,25
150066,2013,3.83287671232877,"Projects",439000,114535.382416011,"Switzerland","Experimental Medicine",0,0,1,0.260900643316655,40,40
148384,2013,1.49315068493151,"Careers",101250,67809.6330275229,NA,"Basic Medical Sciences",2,1.3394495412844,11,7.3669724770642,736,66.9090909090909
146984,2013,3.41917808219178,"Projects",638880,186851.923076923,"Switzerland","Basic Medical Sciences",17,4.97195512820513,17,4.97195512820513,517,30.4117647058824
