"GrantNumber";"CallDecisionYear";"EffectiveGrantStartDate";"GrantDurationDays";"GrantDurationYears";"EffectiveGrantEndDate";"State";"FundingInstrumentLevel1";"AmountGrantedAllSets";"AmountPerYear";"AmountPerEmployee";"AmountPerEmployeeAndYear";"ResearchInstitution";"InstituteCountry";"MainDiscipline_Level1";"MainDiscipline_Level2";"MainDiscipline";"NrEmployees";"NrEmployeesPerYear";"NrCollaborations";"NrCollaborationsPerYear";"NrAcademicEvents";"NrAcademicEventsPerYear";"DateFirstAcademicEvent";"NrAwards";"NrAwardsPerYear";"YearFirstAward";"NrDatasets";"NrDatasetsPerYear";"DateFirstDataset";"NrKnowledgeTransfer";"NrKnowledgeTransferPerYear";"DateFirstKnowledgeTransfer";"NrCommunication";"NrCommunicationPerYear";"YearFirstCommunication";"NrTotalPublications";"NrTotalPublicationsPerYear";"YearFirstPublication";"NrUncitablePublications";"NrUncitablePublicationsPerYear";"NrUses";"NrUsesPerYear";"YearFirstUse";"NrTotalOutputs";"NrTotalOutputsPerYear";"NrTotalUncitableOutputs";"NrTotalUncitableOutputsPerYear";"NrCitablePublications";"NrCitablePublicationsPerYear";"NrCitationsTotal";"NrCitationsPerPublication";"YearFirstCitablePublication"
142663;2012;2012-10-01;729;1.9972602739726;2014-09-30;"Completed";"Careers";544935;272841.255144033;272467.5;136420.627572016;"University of Geneva - GE";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";2;1.00137174211248;0;0;0;0;NA;1;0.500685871056241;2012;0;0;NA;0;0;NA;3;1.50205761316872;2014;3;1.50205761316872;2013;0;0;0;0;NA;7;3.50480109739369;4;2.00274348422497;3;1.50205761316873;NA;NA;2013
140514;2012;2012-09-01;1460;4;2016-08-31;"Completed";"Projects";442000;110500;147333.333333333;36833.3333333333;"University of Lausanne - LA";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Medical Microbiology";3;0.75;2;0.5;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;0.25;2016;0;0;0;0;NA;1;0.25;0;0;1;0.25;NA;NA;2016
144001;2012;2012-06-01;91;0.249315068493151;2012-08-31;"Completed";"Careers";10870;43599.4505494506;0;0;"University of Lausanne - LA";NA;"Biology and Medicine";"Basic Biological Research";"Biochemistry";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;0;NA;NA;NA
143748;2012;2013-02-01;1094;2.9972602739726;2016-01-31;"Completed";"Projects";544800;181765.996343693;108960;36353.1992687386;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Physiology : other topics";5;1.66819012797075;6;2.0018281535649;8;2.6691042047532;2013-04-20;0;0;NA;0;0;NA;0;0;NA;0;0;NA;12;4.0036563071298;2013;0;0;0;0;NA;20;6.672760511883;8;2.6691042047532;12;4.0036563071298;NA;NA;2013
144242;2012;2012-12-01;1277;3.4986301369863;2016-05-31;"Completed";"Projects";259348;74128.441660141;259348;74128.441660141;"ETH Zurich - ETHZ";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";1;0.285826155050901;3;0.857478465152702;9;2.5724353954581;2013-02-28;0;0;NA;0;0;NA;1;0.285826155050901;2014-03-06;0;0;NA;11;3.14408770555991;2014;1;0.285826155050901;2;0.571652310101801;2013;23;6.57400156617071;13;3.71574001566171;10;2.85826155050901;660;66;2014
146108;2012;2013-04-01;547;1.4986301369863;2014-09-30;"Completed";"Careers";68750;45875.2285191956;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Experimental Medicine";"Experimental Cancer Research";0;0;4;2.6691042047532;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;0;NA;NA;NA
144152;2012;2012-11-01;1094;2.9972602739726;2015-10-31;"Completed";"Projects";346000;115438.756855576;173000;57719.3784277879;"Kantonsspital Baden - KSPB";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Cardiovascular Research";2;0.6672760511883;6;2.0018281535649;48;16.0146252285192;2013-01-15;3;1.00091407678245;2012;0;0;NA;0;0;NA;3;1.00091407678245;2013;52;17.3491773308958;2012;28;9.34186471663621;0;0;NA;106;35.3656307129799;82;27.3583180987203;24;8.00731261425961;NA;NA;2012
145355;2012;2014-02-01;729;1.9972602739726;2016-01-31;"Completed";"Careers";163140;81681.8930041152;0;0;"Institution abroad - Sweden";"Sweden";"Biology and Medicine";"Basic Biological Research";"Experimental Microbiology";0;0;9;4.50617283950617;2;1.00137174211248;2014-05-22;0;0;NA;0;0;NA;0;0;NA;1;0.500685871056241;2015;3;1.50205761316872;2015;0;0;0;0;NA;6;3.00411522633745;3;1.50205761316873;3;1.50205761316873;326;108.666666666667;2015
141798;2012;2013-01-01;1094;2.9972602739726;2015-12-31;"Completed";"Programmes";1200000;400365.63071298;171428.571428571;57195.0901018543;"University of Geneva - GE";"Switzerland";"Biology and Medicine";"Experimental Medicine";"Experimental Cancer Research";7;2.33546617915905;9;3.00274223034735;29;9.67550274223035;2013-04-04;0;0;NA;0;0;NA;1;0.33363802559415;2015-05-07;0;0;NA;13;4.33729433272395;NA;5;1.66819012797075;0;0;NA;43;14.3464351005484;35;11.6773308957953;8;2.6691042047532;NA;NA;2013
144111;2012;2012-10-01;1094;2.9972602739726;2015-09-30;"Completed";"Projects";498000;166151.736745887;166000;55383.9122486289;"University of Basel - BS";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Biochemistry";3;1.00091407678245;4;1.3345521023766;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;12;4.0036563071298;NA;1;0.33363802559415;0;0;NA;12;4.0036563071298;1;0.33363802559415;11;3.67001828153565;NA;NA;NA
