"GrantNumber";"CallDecisionYear";"EffectiveGrantStartDate";"GrantDurationDays";"GrantDurationYears";"EffectiveGrantEndDate";"State";"FundingInstrumentLevel1";"AmountGrantedAllSets";"AmountPerYear";"AmountPerEmployee";"AmountPerEmployeeAndYear";"ResearchInstitution";"InstituteCountry";"MainDiscipline_Level1";"MainDiscipline_Level2";"MainDiscipline";"NrEmployees";"NrEmployeesPerYear";"NrCollaborations";"NrCollaborationsPerYear";"NrAcademicEvents";"NrAcademicEventsPerYear";"DateFirstAcademicEvent";"NrAwards";"NrAwardsPerYear";"YearFirstAward";"NrDatasets";"NrDatasetsPerYear";"DateFirstDataset";"NrKnowledgeTransfer";"NrKnowledgeTransferPerYear";"DateFirstKnowledgeTransfer";"NrCommunication";"NrCommunicationPerYear";"YearFirstCommunication";"NrTotalPublications";"NrTotalPublicationsPerYear";"YearFirstPublication";"NrUses";"NrUsesPerYear";"YearFirstUse";"NrTotalOutputs";"NrTotalOutputsPerYear"
143359;2012;2013-04-01;1095;3;2016-03-31;"Completed";"Projects";606382;202127.333333333;151595.5;50531.8333333333;"University of Neuchatel - NE";"Switzerland";"Biology and Medicine";"General Biology";"Anthropology, Primatology";4;1.33333333333333;17;5.66666666666667;24;8;2013-06-04;0;0;NA;0;0;NA;6;2;2013-06-01;2;0.666666666666667;2013;79;26.3333333333333;2013;0;0;NA;111;37
166458;2016;2016-04-01;1155;3.16438356164384;2019-05-31;"Completed";"Projects";756000;238909.090909091;68727.2727272727;21719.0082644628;"University of Neuchatel - NE";"Switzerland";"Biology and Medicine";"General Biology";"Anthropology, Primatology";11;3.47619047619048;6;1.8961038961039;22;6.95238095238095;2016-04-12;0;0;NA;9;2.84415584415584;NA;8;2.52813852813853;2016-11-01;15;4.74025974025974;2016;29;9.16450216450216;2016;0;0;NA;83;26.2294372294372
188518;2019;2019-04-01;29;0.0794520547945206;2019-04-30;"Completed";"Science communication";4000;50344.8275862069;0;0;NA;"Switzerland";"Biology and Medicine";"General Biology";"Anthropology, Primatology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
188519;2019;2019-04-01;29;0.0794520547945206;2019-04-30;"Completed";"Science communication";1200;15103.4482758621;0;0;NA;"Switzerland";"Biology and Medicine";"General Biology";"Anthropology, Primatology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
188262;2019;2019-10-01;730;2;2021-09-30;"Completed";"Careers";128850;64425;0;0;"Institution abroad - France";"France";"Biology and Medicine";"Experimental Medicine";"Immunology, Immunopathology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
142763;2012;2012-11-01;180;0.493150684931507;2013-04-30;"Completed";"Careers";33600;68133.3333333333;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;3;6.08333333333333;1;2.02777777777778;2013-06-01;1;2.02777777777778;2012;0;0;NA;0;0;NA;0;0;NA;1;2.02777777777778;2016;0;0;NA;3;6.08333333333333
183926;2018;2019-04-01;456;1.24931506849315;2020-06-30;"Completed";"Careers";102000;81644.7368421053;0;0;"Institution abroad - Japan";"Japan";"Biology and Medicine";"Basic Biological Research";"Experimental Microbiology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
158083;2014;2014-11-01;91;0.249315068493151;2015-01-31;"Completed";"Careers";9280;37221.978021978;0;0;"University of Basel - BS";NA;"Biology and Medicine";"Experimental Medicine";"Experimental Cancer Research";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
144172;2012;2012-10-01;821;2.24931506849315;2014-12-31;"Completed";"Projects";212782;94598.574908648;212782;94598.574908648;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"Clinical Medicine";"Internal Medicine";1;0.444579780755177;3;1.33373934226553;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
164712;2015;2016-01-01;669;1.83287671232877;2017-10-31;"Completed";"Careers";104731;57140.2316890882;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Basic Biological Research";"Cellular Biology, Cytology";0;0;2;1.09118086696562;2;1.09118086696562;2016-06-05;0;0;NA;0;0;NA;1;0.54559043348281;2016-11-05;0;0;NA;3;1.63677130044843;2018;0;0;NA;6;3.27354260089686
152173;2013;2014-03-01;548;1.5013698630137;2015-08-31;"Completed";"Careers";72875;48539.0054744526;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Basic Biological Research";"Cellular Biology, Cytology";0;0;2;1.33211678832117;4;2.66423357664234;2015-01-31;0;0;NA;0;0;NA;1;0.666058394160584;2016-11-05;0;0;NA;0;0;NA;0;0;NA;5;3.33029197080292
202444;2021;2021-01-01;30;0.0821917808219178;2021-01-31;"Completed";"Science communication";2661;32375.5;0;0;NA;"Switzerland";"Biology and Medicine";"Basic Biological Research";"Cellular Biology, Cytology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
158698;2014;2015-04-01;548;1.5013698630137;2016-09-30;"Completed";"Careers";71600;47689.7810218978;0;0;"Institution abroad - Spain";"Spain";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;0;0;2;1.33211678832117;2016-03-10;2;1.33211678832117;2015;0;0;NA;0;0;NA;0;0;NA;3;1.99817518248175;NA;0;0;NA;7;4.66240875912409
142663;2012;2012-10-01;729;1.9972602739726;2014-09-30;"Completed";"Careers";544935;272841.255144033;272467.5;136420.627572016;"University of Geneva - GE";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";2;1.00137174211248;0;0;0;0;NA;1;0.500685871056241;2012;0;0;NA;0;0;NA;3;1.50205761316872;2014;3;1.50205761316872;2013;0;0;NA;7;3.50480109739369
189505;2019;2019-04-01;29;0.0794520547945206;2019-04-30;"Completed";"Science communication";4910;61798.275862069;0;0;NA;"Switzerland";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
189552;2019;2019-05-01;30;0.0821917808219178;2019-05-31;"Completed";"Science communication";5264;64045.3333333333;0;0;NA;"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
206167;2021;2021-08-01;30;0.0821917808219178;2021-08-31;"Completed";"Science communication";4169;50722.8333333333;0;0;NA;"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
203525;2021;2021-03-01;30;0.0821917808219178;2021-03-31;"Completed";"Science communication";5320;64726.6666666667;0;0;NA;"Switzerland";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
150683;2014;2014-10-01;1460;4;2018-09-30;"Completed";"Careers";1597725;399431.25;399431.25;99857.8125;"University of Basel - BS";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";4;1;3;0.75;7;1.75;2017-10-01;0;0;NA;0;0;NA;0;0;NA;0;0;NA;3;0.75;NA;0;0;NA;10;2.5
155830;2014;2015-02-01;2311;6.33150684931507;2021-05-31;"Completed";"Programmes";1499976;236906.637819126;124998;19742.2198182605;"University of Basel - BS";NA;"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";12;1.89528342708784;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;0.157940285590653;2016;0;0;NA;1;0.157940285590653
190076;2019;2019-12-01;730;2;2021-11-30;"Completed";"Careers";384948;192474;128316;64158;"University of Basel - BS";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";3;1.5;3;1.5;1;0.5;2020-06-05;0;0;NA;0;0;NA;0;0;NA;0;0;NA;5;2.5;2020;0;0;NA;6;3
179088;2018;2018-10-01;364;0.997260273972603;2019-09-30;"Completed";"Careers";377672;378709.56043956;188836;189354.78021978;"University of Basel - BS";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";2;2.00549450549451;4;4.01098901098901;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;2;2.00549450549451;2019;0;0;NA;2;2.00549450549451
158998;2014;2015-06-01;365;1;2016-05-31;"Completed";"Careers";65320;65320;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Basic Medical Sciences";"Structural Research";0;0;1;1;3;3;2016-03-13;1;1;2016;0;0;NA;0;0;NA;0;0;NA;1;1;NA;0;0;NA;5;5
188271;2019;2019-06-01;334;0.915068493150685;2020-04-30;"Completed";"Careers";59850;65404.9401197605;0;0;"Institution abroad - Germany";"Germany";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;0;0;1;1.09281437125748;2019-07-02;1;1.09281437125748;2021;0;0;NA;0;0;NA;1;1.09281437125748;2021;1;1.09281437125748;2021;0;0;NA;4;4.37125748502994
169196;2016;2017-01-01;1460;4;2020-12-31;"Completed";"Projects";525000;131250;525000;131250;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"Clinical Medicine";"Clinical Cancer Research";1;0.25;3;0.75;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;17;4.25;2017;0;0;NA;17;4.25
194988;2020;2020-04-01;29;0.0794520547945206;2020-04-30;"Completed";"Science communication";4986;62754.8275862069;0;0;NA;"Switzerland";"Biology and Medicine";"General Biology";"Zoology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
161931;2015;2015-08-01;549;1.5041095890411;2017-01-31;"Completed";"Careers";75680;50315.4826958106;0;0;"Institution abroad - Canada";"Canada";"Biology and Medicine";"General Biology";"Zoology";0;0;3;1.99453551912568;0;0;NA;1;0.664845173041894;2016;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;0.664845173041894
174344;2017;2017-07-01;364;0.997260273972603;2018-06-30;"Completed";"Careers";66800;66983.5164835165;0;0;"Institution abroad - Canada";"Canada";"Biology and Medicine";"General Biology";"Zoology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;4;4.01098901098901;2017;0;0;NA;4;4.01098901098901
190287;2019;2020-02-01;393;1.07671232876712;2021-02-28;"Completed";"Projects";116270;107986.132315522;116270;107986.132315522;"University of Fribourg - FR";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Cellular Biology, Cytology";1;0.928753180661578;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;3;2.78625954198473;2020;0;0;NA;3;2.78625954198473
186493;2019;2019-06-01;182;0.498630136986301;2019-11-30;"Completed";"Science communication";18500;37101.6483516483;0;0;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Cellular Biology, Cytology";0;0;1;2.00549450549451;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
172468;2016;2017-09-01;1186;3.24931506849315;2020-11-30;"Completed";"Programmes";55571;17102.3735244519;0;0;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"General Biology";"Environmental Research";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
187658;2019;2020-01-01;761;2.08493150684932;2022-01-31;"Completed";"Careers";95833;45964.579500657;0;0;"Institution abroad - Germany";"Germany";"Biology and Medicine";"Clinical Medicine";"Neurology, Psychiatry";0;0;13;6.23521681997372;4;1.91852825229961;2020-09-05;0;0;NA;0;0;NA;0;0;NA;0;0;NA;7;3.35742444152431;2020;0;0;NA;11;5.27595269382392
140514;2012;2012-09-01;1460;4;2016-08-31;"Completed";"Projects";442000;110500;147333.333333333;36833.3333333333;"University of Lausanne - LA";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Medical Microbiology";3;0.75;2;0.5;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;0.25;2016;0;0;NA;1;0.25
196427;2020;2021-04-01;364;0.997260273972603;2022-03-31;"Completed";"Projects";1e+05;100274.725274725;1e+05;100274.725274725;"University of Geneva - GE";NA;"Biology and Medicine";"Basic Biological Research";"Embryology, Developmental Biology";1;1.00274725274725;1;1.00274725274725;3;3.00824175824176;2021-05-16;1;1.00274725274725;2021;4;4.01098901098901;NA;0;0;NA;1;1.00274725274725;2022;1;1.00274725274725;2022;0;0;NA;10;10.0274725274725
144001;2012;2012-06-01;91;0.249315068493151;2012-08-31;"Completed";"Careers";10870;43599.4505494506;0;0;"University of Lausanne - LA";NA;"Biology and Medicine";"Basic Biological Research";"Biochemistry";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
166695;2016;2016-08-01;1094;2.9972602739726;2019-07-31;"Completed";"Projects";544800;181765.996343693;136200;45441.4990859232;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Physiology : other topics";4;1.3345521023766;4;1.3345521023766;3;1.00091407678245;2017-03-03;0;0;NA;1;0.33363802559415;2017-02-01;0;0;NA;0;0;NA;7;2.33546617915905;2017;0;0;NA;11;3.67001828153565
183375;2018;2019-04-01;365;1;2020-03-31;"Completed";"Infrastructure";175000;175000;0;0;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Physiology : other topics";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
