"GrantNumber";"CallDecisionYear";"EffectiveGrantStartDate";"GrantDurationDays";"GrantDurationYears";"EffectiveGrantEndDate";"State";"FundingInstrumentLevel1";"AmountGrantedAllSets";"AmountPerYear";"AmountPerEmployee";"AmountPerEmployeeAndYear";"ResearchInstitution";"InstituteCountry";"MainDiscipline_Level1";"MainDiscipline_Level2";"MainDiscipline";"NrEmployees";"NrEmployeesPerYear";"NrCollaborations";"NrCollaborationsPerYear";"NrAcademicEvents";"NrAcademicEventsPerYear";"DateFirstAcademicEvent";"NrAwards";"NrAwardsPerYear";"YearFirstAward";"NrDatasets";"NrDatasetsPerYear";"DateFirstDataset";"NrKnowledgeTransfer";"NrKnowledgeTransferPerYear";"DateFirstKnowledgeTransfer";"NrCommunication";"NrCommunicationPerYear";"YearFirstCommunication";"NrTotalPublications";"NrTotalPublicationsPerYear";"YearFirstPublication";"NrUses";"NrUsesPerYear";"YearFirstUse";"NrTotalOutputs";"NrTotalOutputsPerYear"
174722;2017;2017-09-01;545;1.49315068493151;2019-02-28;"Completed";"Careers";112998;75677.5596330275;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
202854;2021;2021-02-01;27;0.073972602739726;2021-02-28;"Completed";"Science communication";5329;72040.1851851852;0;0;NA;"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
166674;2016;2016-07-01;334;0.915068493150685;2017-05-31;"Completed";"Projects";834000;911407.185628742;278000;303802.395209581;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";3;3.27844311377246;2;2.18562874251497;0;0;NA;1;1.09281437125748;2018;0;0;NA;0;0;NA;1;1.09281437125748;2019;3;3.27844311377246;2018;1;1.09281437125748;2016;6;6.55688622754491
185214;2019;2019-04-01;1460;4;2023-03-31;"Completed";"Projects";1128960;282240;161280;40320;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";7;1.75;3;0.75;9;2.25;2019-05-06;6;1.5;2019;0;0;NA;0;0;NA;4;1;2019;2;0.5;2020;1;0.25;2023;22;5.5
145035;2012;2013-11-01;759;2.07945205479452;2015-11-30;"Completed";"Infrastructure";326938;157223.148880105;0;0;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";0;0;1;0.480895915678524;1;0.480895915678524;2014-11-12;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;0.480895915678524
146925;2013;2013-07-01;1095;3;2016-06-30;"Completed";"Projects";793880;264626.666666667;158776;52925.3333333333;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";5;1.66666666666667;5;1.66666666666667;19;6.33333333333333;2013-09-18;2;0.666666666666667;2013;0;0;NA;7;2.33333333333333;2014-03-21;2;0.666666666666667;2015;5;1.66666666666667;2015;2;0.666666666666667;2013;37;12.3333333333333
156331;2015;2015-09-01;1276;3.4958904109589;2019-02-28;"Completed";"Programmes";245331;70176.9710031348;61332.75;17544.2427507837;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";4;1.14420062695925;6;1.71630094043887;19;5.43495297805643;2015-09-27;2;0.572100313479624;2016;0;0;NA;6;1.71630094043887;2015-12-04;2;0.572100313479624;2015;6;1.71630094043887;NA;1;0.286050156739812;2016;36;10.2978056426332
160696;2015;2015-12-01;1277;3.4986301369863;2019-05-31;"Completed";"Programmes";1875000;535924.040720439;110294.117647059;31524.9435717905;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Clinical Medicine";"Neurology, Psychiatry";17;4.85904463586531;9;2.5724353954581;16;4.57321848081441;2016-03-28;4;1.1433046202036;2017;0;0;NA;0;0;NA;8;2.2866092404072;2017;17;4.85904463586531;2016;2;0.571652310101801;2015;47;13.4338292873923
151759;2013;2014-04-01;152;0.416438356164384;2014-08-31;"Completed";"Careers";74600;179138.157894737;0;0;"Institution abroad - Great Britain and Northern Ireland";"Great Britain and Northern Ireland";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
159512;2015;2015-11-01;730;2;2017-10-31;"Completed";"Projects";157105;78552.5;78552.5;39276.25;"University of Fribourg - FR";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Cardiovascular Research";2;1;1;0.5;2;1;2017-08-01;0;0;NA;0;0;NA;0;0;NA;0;0;NA;4;2;2017;0;0;NA;6;3
156030;2014;2014-10-01;1277;3.4986301369863;2018-03-31;"Completed";"Projects";703000;200935.787000783;175750;50233.9467501958;"University of Lausanne - LA";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";4;1.1433046202036;9;2.5724353954581;7;2.0007830853563;2015-01-22;1;0.285826155050901;2017;2;0.571652310101801;2018-11-22;0;0;NA;3;0.857478465152702;2015;12;3.42991386061081;2015;0;0;NA;25;7.14565387627251
179424;2018;2018-04-01;1460;4;2022-03-31;"Completed";"Projects";1190504;297626;238100.8;59525.2;"University of Lausanne - LA";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";5;1.25;7;1.75;25;6.25;2018-04-11;4;1;2018;3;0.75;2018-11-22;0;0;NA;7;1.75;2018;8;2;2018;0;0;NA;47;11.75
178043;2017;2018-07-01;548;1.5013698630137;2019-12-31;"Completed";"Careers";77650;51719.4343065693;0;0;"Institution abroad - Great Britain and Northern Ireland";"Great Britain and Northern Ireland";"Biology and Medicine";"General Biology";"Botany";0;0;2;1.33211678832117;1;0.666058394160584;2019-04-03;0;0;NA;0;0;NA;1;0.666058394160584;2019-11-06;1;0.666058394160584;2019;0;0;NA;1;0.666058394160584;NA;4;2.66423357664234
194374;2020;2020-09-01;576;1.57808219178082;2022-03-31;"Completed";"Careers";90556;57383.5763888889;0;0;"Institution abroad - Great Britain and Northern Ireland";"Great Britain and Northern Ireland";"Biology and Medicine";"General Biology";"Botany";0;0;3;1.90104166666667;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;0.633680555555556;2022;0;0;NA;1;0.633680555555556
172465;2016;2017-01-01;1094;2.9972602739726;2019-12-31;"Completed";"Programmes";508328;169597.550274223;127082;42399.3875685558;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"General Biology";"Ecology";4;1.3345521023766;2;0.6672760511883;2;0.6672760511883;2018-08-13;0;0;NA;0;0;NA;0;0;NA;2;0.6672760511883;2018;5;1.66819012797075;2018;0;0;NA;9;3.00274223034735
159743;2015;2015-11-01;1460;4;2019-10-31;"Completed";"Projects";814902;203725.5;162980.4;40745.1;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"General Biology";"Ecology";5;1.25;7;1.75;24;6;2016-07-04;1;0.25;2017;5;1.25;2018-03-16;0;0;NA;8;2;2019;8;2;2018;0;0;NA;46;11.5
207527;2021;2021-08-01;30;0.0821917808219178;2021-08-31;"Completed";"Science communication";2162;26304.3333333333;0;0;NA;"Switzerland";"Biology and Medicine";"General Biology";"Ecology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
146445;2013;2013-05-01;1430;3.91780821917808;2017-03-31;"Completed";"Projects";476638;121659.34965035;119159.5;30414.8374125874;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"General Biology";"Ecology";4;1.02097902097902;7;1.78671328671329;21;5.36013986013986;2013-10-07;0;0;NA;0;0;NA;0;0;NA;0;0;NA;11;2.80769230769231;2014;0;0;NA;32;8.16783216783217
155115;2014;2014-07-01;364;0.997260273972603;2015-06-30;"Completed";"Careers";74150;74353.7087912088;0;0;"Institution abroad - Australia";"Australia";"Biology and Medicine";"Experimental Medicine";"Immunology, Immunopathology";0;0;0;0;3;3.00824175824176;2014-09-01;1;1.00274725274725;2014;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;4;4.01098901098901
158898;2014;2015-01-01;546;1.4958904109589;2016-06-30;"Completed";"Careers";71850;48031.5934065934;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Experimental Medicine";"Experimental Cancer Research";0;0;1;0.668498168498168;1;0.668498168498168;2016-05-24;2;1.33699633699634;2015;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;3;2.00549450549451
172246;2016;2017-01-01;545;1.49315068493151;2018-06-30;"Completed";"Careers";117080;78411.376146789;0;0;"Institution abroad - Australia";"Australia";"Biology and Medicine";"Experimental Medicine";"Experimental Cancer Research";0;0;0;0;1;0.669724770642202;2018-04-04;0;0;NA;0;0;NA;1;0.669724770642202;2017-05-08;0;0;NA;0;0;NA;0;0;NA;2;1.3394495412844
162061;2015;2015-09-01;668;1.83013698630137;2017-06-30;"Completed";"Careers";83720;45745.2095808383;0;0;"Institution abroad - Austria";"Austria";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;3;1.63922155688623;1;0.546407185628742;2016-07-06;0;0;NA;0;0;NA;0;0;NA;0;0;NA;3;1.63922155688623;2016;0;0;NA;4;2.18562874251497
164919;2015;2016-08-01;548;1.5013698630137;2018-01-31;"Completed";"Careers";76150;50720.3467153285;0;0;"Institution abroad - Great Britain and Northern Ireland";"Great Britain and Northern Ireland";"Biology and Medicine";"Basic Biological Research";"Cellular Biology, Cytology";0;0;2;1.33211678832117;1;0.666058394160584;2017-06-29;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;0.666058394160584
154767;2014;2015-09-01;852;2.33424657534247;2017-12-31;"Completed";"Careers";597997;256184.160798122;59799.7;25618.4160798122;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"General Biology";"Ecology";10;4.28403755868545;10;4.28403755868545;14;5.99765258215962;2015-09-07;0;0;NA;0;0;NA;0;0;NA;6;2.57042253521127;2015;8;3.42723004694836;2016;0;0;NA;28;11.9953051643192
195937;2020;2020-11-01;364;0.997260273972603;2021-10-31;"Completed";"Projects";1e+05;100274.725274725;25000;25068.6813186813;"University of Zurich - ZH";NA;"Biology and Medicine";"General Biology";"Zoology";4;4.01098901098901;2;2.00549450549451;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
170669;2017;2018-01-01;1460;4;2021-12-31;"Completed";"Careers";1617065;404266.25;124389.615384615;31097.4038461538;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"General Biology";"Ecology";13;3.25;13;3.25;13;3.25;2018-02-15;0;0;NA;0;0;NA;0;0;NA;3;0.75;2019;15;3.75;2019;0;0;NA;31;7.75
164468;2015;2016-05-01;729;1.9972602739726;2018-04-30;"Completed";"Careers";264052;132207.105624143;264052;132207.105624143;"University of Lausanne - LA";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";1;0.500685871056241;0;0;6;3.00411522633745;2016-05-19;0;0;NA;0;0;NA;1;0.500685871056241;2017-03-14;0;0;NA;0;0;NA;0;0;NA;7;3.50480109739369
173825;2017;2018-02-01;667;1.82739726027397;2019-11-30;"Completed";"Programmes";176754;96724.4527736132;176754;96724.4527736132;"EPF Lausanne - EPFL";NA;"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";1;0.547226386806597;0;0;4;2.18890554722639;2019-02-18;0;0;NA;1;0.547226386806597;2019-07-11;0;0;NA;0;0;NA;1;0.547226386806597;2019;1;0.547226386806597;2019;7;3.83058470764618
169975;2016;2017-09-01;1307;3.58082191780822;2021-03-31;"Completed";"Projects";684267;191092.161438409;136853.4;38218.4322876817;"University of Berne - BE";"Switzerland";"Biology and Medicine";"Clinical Medicine";"Neurology, Psychiatry";5;1.39632746748279;3;0.837796480489671;24;6.70237184391737;2018-02-08;1;0.279265493496557;2018;1;0.279265493496557;NA;0;0;NA;0;0;NA;2;0.558530986993114;2019;0;0;NA;28;7.8194338179036
150009;2013;2014-09-01;1460;4;2018-08-31;"Completed";"Projects";522354;130588.5;87059;21764.75;"University of Berne - BE";"Switzerland";"Biology and Medicine";"Clinical Medicine";"Neurology, Psychiatry";6;1.5;40;10;45;11.25;2014-09-02;0;0;NA;0;0;NA;0;0;NA;1;0.25;2014;1;0.25;2016;0;0;NA;47;11.75
189748;2019;2019-06-01;29;0.0794520547945206;2019-06-30;"Completed";"Science communication";5261;66216.0344827586;0;0;NA;"Switzerland";"Biology and Medicine";"Basic Biological Research";"Experimental Microbiology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
203888;2021;2020-10-01;30;0.0821917808219178;2020-10-31;"Completed";"Science communication";2378;28932.3333333333;0;0;NA;"Switzerland";"Biology and Medicine";"Basic Biological Research";"Experimental Microbiology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
169377;2016;2017-02-01;1094;2.9972602739726;2020-01-31;"Completed";"Projects";525000;175159.963436929;175000;58386.6544789762;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Experimental Microbiology";3;1.00091407678245;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;5;1.66819012797075;2017;0;0;NA;5;1.66819012797075
179447;2018;2018-10-01;1552;4.25205479452055;2022-12-31;"Completed";"Projects";7e+05;164626.288659794;233333.333333333;54875.4295532646;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Clinical Medicine";"Biomedical Engineering";3;0.705541237113402;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
193595;2019;2020-02-01;89;0.243835616438356;2020-04-30;"Completed";"Science communication";10500;43061.797752809;0;0;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Experimental Microbiology";0;0;1;4.10112359550562;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
183881;2018;2019-01-01;608;1.66575342465753;2020-08-31;"Completed";"Careers";83250;49977.3848684211;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Experimental Medicine";"Experimental Cancer Research";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;3;1.80098684210526;2019;0;0;NA;3;1.80098684210526
171892;2016;2017-05-01;548;1.5013698630137;2018-10-31;"Completed";"Careers";74545;49651.3229927007;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Experimental Medicine";"Experimental Cancer Research";0;0;0;0;4;2.66423357664234;2017-05-04;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;4;2.66423357664234
145344;2012;2013-01-01;364;0.997260273972603;2013-12-31;"Completed";"Careers";60345;60510.782967033;0;0;"Institution abroad - Canada";"Canada";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;2;2.00549450549451;1;1.00274725274725;2013-10-05;0;0;NA;0;0;NA;0;0;NA;0;0;NA;3;3.00824175824176;2014;0;0;NA;4;4.01098901098901
149976;2013;2015-01-01;1276;3.4958904109589;2018-06-30;"Completed";"Projects";311000;88961.5987460815;311000;88961.5987460815;"ETH Zurich - ETHZ";"Switzerland";"Biology and Medicine";"Clinical Medicine";"Veterinary Medicine";1;0.286050156739812;3;0.858150470219436;7;2.00235109717868;2016-02-14;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;0.286050156739812;2018;0;0;NA;8;2.2884012539185
151886;2013;2014-08-01;548;1.5013698630137;2016-01-31;"Completed";"Careers";96850;64507.7554744526;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;3;1.99817518248175;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;2;1.33211678832117;2015;0;0;NA;2;1.33211678832117
164696;2015;2016-02-01;546;1.4958904109589;2017-07-31;"Completed";"Careers";119255;79721.7490842491;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;3;2.00549450549451;4;2.67399267399267;2016-05-10;1;0.668498168498168;2017;0;0;NA;0;0;NA;1;0.668498168498168;2016;9;6.01648351648352;2016;0;0;NA;15;10.0274725274725
155554;2014;2014-09-01;546;1.4958904109589;2016-02-29;"Completed";"Careers";62075;41497.0238095238;0;0;"Institution abroad - Canada";"Canada";"Biology and Medicine";"General Biology";"Ecology";0;0;1;0.668498168498168;6;4.01098901098901;2014-10-09;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;6;4.01098901098901
190605;2019;2020-02-01;485;1.32876712328767;2021-05-31;"Completed";"Projects";99760;75077.1134020619;0;0;"University of Lausanne - LA";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;2;1.50515463917526;2020;0;0;NA;2;1.50515463917526
203132;2021;2021-08-01;548;1.5013698630137;2023-01-31;"Completed";"Careers";79500;52951.6423357664;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
191524;2019;2020-02-01;546;1.4958904109589;2021-07-31;"Completed";"Careers";76700;51273.8095238095;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
156167;2014;2014-10-01;1095;3;2017-09-30;"Completed";"Projects";550000;183333.333333333;183333.333333333;61111.1111111111;"University of Lausanne - LA";"Switzerland";"Biology and Medicine";"Experimental Medicine";"Nutritional Research, Vitaminology";3;1;3;1;3;1;2017-02-25;0;0;NA;0;0;NA;0;0;NA;0;0;NA;4;1.33333333333333;2016;0;0;NA;7;2.33333333333333
152331;2014;2014-04-01;1186;3.24931506849315;2017-06-30;"Completed";"Programmes";104250;32083.6846543002;0;0;"University of Lausanne - LA";"Switzerland";"Biology and Medicine";"Experimental Medicine";"Pathophysiology";0;0;2;0.615514333895447;3;0.92327150084317;2015-02-28;0;0;NA;0;0;NA;0;0;NA;0;0;NA;3;0.92327150084317;NA;0;0;NA;6;1.84654300168634
147720;2013;2013-07-01;183;0.501369863013699;2013-12-31;"Completed";"Science communication";5000;9972.67759562841;0;0;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"Clinical Medicine";"Clinical Immunology and Immunopathology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
177340;2017;2017-12-01;1642;4.4986301369863;2022-05-31;"Completed";"Projects";7e+05;155602.923264312;350000;77801.4616321559;"University of Geneva - GE";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";2;0.444579780755177;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;4;0.889159561510353;2019;0;0;NA;4;0.889159561510353
153251;2014;2014-06-01;1217;3.33424657534247;2017-09-30;"Completed";"Projects";670000;200944.946589975;167500;50236.2366474938;"University of Geneva - GE";"Switzerland";"Biology and Medicine";"Experimental Medicine";"Experimental Cancer Research";4;1.19967132292523;3;0.899753492193919;2;0.599835661462613;2015-05-28;0;0;NA;0;0;NA;0;0;NA;0;0;NA;5;1.49958915365653;2014;0;0;NA;7;2.09942481511915
151666;2013;2014-04-01;547;1.4986301369863;2015-09-30;"Completed";"Careers";131925;88030.3930530165;0;0;"Institution abroad - Canada";"Canada";"Biology and Medicine";"General Biology";"Ecology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;4;2.6691042047532;NA;0;0;NA;4;2.6691042047532
206177;2021;2021-07-01;30;0.0821917808219178;2021-07-31;"Completed";"Science communication";2258;27472.3333333333;0;0;NA;"Switzerland";"Biology and Medicine";"Social Medicine";"Public Health and Health Services";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
205233;2021;2021-05-01;30;0.0821917808219178;2021-05-31;"Completed";"Science communication";995;12105.8333333333;0;0;NA;"Switzerland";"Biology and Medicine";"Social Medicine";"Public Health and Health Services";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
194037;2020;2020-01-01;30;0.0821917808219178;2020-01-31;"Completed";"Science communication";1939;23591.1666666667;0;0;NA;"Switzerland";"Biology and Medicine";"Social Medicine";"Public Health and Health Services";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
198587;2020;2020-06-01;29;0.0794520547945206;2020-06-30;"Completed";"Science communication";1616;20339.3103448276;0;0;NA;"Switzerland";"Biology and Medicine";"Social Medicine";"Public Health and Health Services";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
198013;2020;2020-04-01;29;0.0794520547945206;2020-04-30;"Completed";"Science communication";1077;13555.3448275862;0;0;NA;"Switzerland";"Biology and Medicine";"Social Medicine";"Public Health and Health Services";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
205765;2021;2021-05-01;30;0.0821917808219178;2021-05-31;"Completed";"Science communication";1572;19126;0;0;NA;"Switzerland";"Biology and Medicine";"Social Medicine";"Public Health and Health Services";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
205771;2021;2021-05-01;30;0.0821917808219178;2021-05-31;"Completed";"Science communication";1530;18615;0;0;NA;"Switzerland";"Biology and Medicine";"Social Medicine";"Public Health and Health Services";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
208256;2021;2021-10-01;30;0.0821917808219178;2021-10-31;"Completed";"Science communication";1950;23725;0;0;NA;"Switzerland";"Biology and Medicine";"Social Medicine";"Public Health and Health Services";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
202594;2021;2021-02-01;27;0.073972602739726;2021-02-28;"Completed";"Science communication";2477;33485.3703703704;0;0;NA;"Switzerland";"Biology and Medicine";"Social Medicine";"Public Health and Health Services";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
207966;2021;2021-10-01;30;0.0821917808219178;2021-10-31;"Completed";"Science communication";2477;30136.8333333333;0;0;NA;"Switzerland";"Biology and Medicine";"Social Medicine";"Public Health and Health Services";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
205788;2021;2021-06-01;29;0.0794520547945206;2021-06-30;"Completed";"Science communication";2477;31176.0344827586;0;0;NA;"Switzerland";"Biology and Medicine";"Social Medicine";"Public Health and Health Services";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
169461;2017;2017-09-01;1095;3;2020-08-31;"Completed";"Programmes";1644341;548113.666666667;274056.833333333;91352.2777777778;"University of Basel - BS";"Switzerland";"Biology and Medicine";"Social Medicine";"Public Health and Health Services";6;2;5;1.66666666666667;3;1;2017-09-04;0;0;NA;0;0;NA;8;2.66666666666667;2018-05-29;0;0;NA;6;2;2019;0;0;NA;17;5.66666666666667
149789;2013;2014-02-01;1095;3;2017-01-31;"Completed";"Projects";382000;127333.333333333;127333.333333333;42444.4444444444;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Biophysics";3;1;2;0.666666666666667;22;7.33333333333333;2014-05-02;0;0;NA;0;0;NA;0;0;NA;0;0;NA;2;0.666666666666667;2015;0;0;NA;24;8
173169;2017;2017-07-01;1552;4.25205479452055;2021-09-30;"Completed";"Projects";7e+05;164626.288659794;175000;41156.5721649484;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Biophysics";4;0.940721649484536;3;0.705541237113402;48;11.2886597938144;2017-08-28;1;0.235180412371134;2018;13;3.05734536082474;NA;0;0;NA;1;0.235180412371134;2019;11;2.58698453608247;2018;0;0;NA;74;17.4033505154639
195054;2020;2020-06-01;364;0.997260273972603;2021-05-31;"Completed";"Programmes";120086;120415.906593407;120086;120415.906593407;"Other Hospitals - ASPIT";NA;"Biology and Medicine";"Preventive Medicine (Epidemiology/Early Diagnosis/Prevention)";"Cancer";1;1.00274725274725;3;3.00824175824176;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;1.00274725274725;2020;1;1.00274725274725
148493;2013;2014-04-01;1460;4;2018-03-31;"Completed";"Programmes";2982330;745582.5;72739.756097561;18184.9390243902;"University of Lausanne - LA";"Switzerland";"Biology and Medicine";"Preventive Medicine (Epidemiology/Early Diagnosis/Prevention)";"Addictive Diseases";41;10.25;33;8.25;47;11.75;2014-05-15;0;0;NA;0;0;NA;0;0;NA;67;16.75;2016;27;6.75;2016;0;0;NA;141;35.25
177519;2017;2018-04-01;1278;3.5013698630137;2021-09-30;"Completed";"Programmes";2883106;823422.292644757;75871.2105263158;21669.0077011778;"University of Lausanne - LA";"Switzerland";"Biology and Medicine";"Preventive Medicine (Epidemiology/Early Diagnosis/Prevention)";"Addictive Diseases";38;10.8528951486698;0;0;31;8.85367762128326;2018-04-04;0;0;NA;0;0;NA;0;0;NA;5;1.42801251956182;2019;57;16.2793427230047;2018;0;0;NA;93;26.5610328638498
189504;2019;2019-04-01;29;0.0794520547945206;2019-04-30;"Completed";"Science communication";1938;24392.0689655172;0;0;NA;"Switzerland";"Biology and Medicine";"Preventive Medicine (Epidemiology/Early Diagnosis/Prevention)";"Addictive Diseases";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
193676;2019;2019-12-01;30;0.0821917808219178;2019-12-31;"Completed";"Science communication";931;11327.1666666667;0;0;NA;"Switzerland";"Biology and Medicine";"Preventive Medicine (Epidemiology/Early Diagnosis/Prevention)";"Addictive Diseases";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
189914;2019;2019-06-01;29;0.0794520547945206;2019-06-30;"Completed";"Science communication";1581;19898.7931034483;0;0;NA;"Switzerland";"Biology and Medicine";"Preventive Medicine (Epidemiology/Early Diagnosis/Prevention)";"Methods of Epidemiology and Preventive Medicine";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
191178;2019;2019-09-01;29;0.0794520547945206;2019-09-30;"Completed";"Science communication";1561;19647.0689655172;0;0;NA;"Switzerland";"Biology and Medicine";"Preventive Medicine (Epidemiology/Early Diagnosis/Prevention)";"Methods of Epidemiology and Preventive Medicine";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
