GrantNumber;UseInspired_Comment;UseInspired_Inventor;UseInspired_LicenseType;UseInspired_Owner;UseInspired_PatentDecisionDate;UseInspired_PatentNumber;UseInspired_PatentOwnerDescription;UseInspired_PatentStatus;UseInspired_PriorityDate;UseInspired_ReviewerActivityType;UseInspired_Title;UseInspired_Type;UseInspired_Url;UseInspired_Year;UseInspiredId
177417;Rezension von Markus Furrer zur Dissertation «Mirjam Janett, Verwaltete Familien. Vormundschaft und Fremdplatzierung in der Deutschschweiz, 1945-1980, Zürich 2022».;;;;;;;;;Industry / private companies;Schweizerische Zeitschrift für Geschichte;Expert/reviewer activity;;2022;189AEB02-703D-4339-8B89-EC2574688455
177417;Beirat des Forschungsprojekts «Fürsorgerische Zwangsmassnahmen Uri- Historische Aufarbeitung einer administrativen Praxis» (Markus Furrer);;;;;;;;;Other foundations / NGOs;Historischer Verein Uri;Expert/reviewer activity;;2019;ECA6D719-3A40-43D2-83C2-6635FEFE157A
177417;"Review Dezember 2020/Januar 2021 von Traverse ""Fürsorge und Selbstermächtigung"" (3/2021) (Markus Furrer)";;;;;;;;;Industry / private companies;Zeitschrift Traverse;Expert/reviewer activity;;2020;C4F39C6C-9044-4304-83B6-403920A8D629
177417;;;;;;;;;;Other administration / public sector;Zweitgutachten zur Dissertation von Karin Bauer, Unter Vormundschaft: Vormundschaft im Kanton Thurgau 1962 bis 2012 im Spannungsfeld privater Anliegen und öffentlicher Interessen, Dissertation der philosophischen Fakultät der Universität Zürich, Frauenfeld 2019 (Markus Furrer);Expert/reviewer activity;;2019;BC5B5A2B-BA53-4641-AF07-AAF18A378A82
139255;;;Software;;;;;;;;NOPA/ACP;Licences (software and other);;2016;8C1B3BB0-9D83-492F-B5AE-A2F3F13EFCE8
139261;Einsitz als Expertin in Subkommission der SAMW zur Erstellung von Richtlinien im Umgang mit Demenz.;;;;;;;;;Other foundations / NGOs;SAMW;Expert/reviewer activity;;2015;2EADB196-3413-496F-A898-C9E986EBF326
139294;;;;;;;;;;;"An evaluation kit for evaluating medical decision-making capacity consisting of:
- form
- interview questions
- manual";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;CC68D360-EC90-4680-BF43-E32CAD13C8B2
139261;"Einsitz in der Task Force ""Advance Care Planning""";;;;;;;;;Other administration / public sector;Bundesamt für Gesundheit;Expert/reviewer activity;;2016;CD4C2F2A-4E18-47BA-9D2D-04DD1BC74CC9
145088;;;;;;;;;;;CAS Interprofessionelle spezialisierte Palliative Care;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);http://www.palliativzentrum.insel.ch/de/bildung-forschung/bildung/cas-interprofessionelle-spezialisierte-palliative-care-level-b2/;;62F5F469-DF30-4C2C-B5EA-E2011DD22659
139246;Echanges sur les résultats de notre recherche en vue de sensibiliser les entreprises à la thématique des proches aidants.;;;;;;;;;Other administration / public sector;Service des assurances sociales et de l'hébergement, Département de la santé publique du Canton de Vaud;Expert/reviewer activity;;2015;090E6589-4678-4504-B06B-61C79BE44365
139262;"Mitarbeit in der Subkommission zur Revision der SAMW-Richtlinien ""Betreuung von Patientinnen und Patienten am Lebensende""";;;;;;;;;Industry / private companies;Schweizerische Akademie der Medizinischen Wissenschaften (SAMW);Expert/reviewer activity;http://www.samw.ch/de/Ethik/Richtlinien/In-Erarbeitung/Lebensende.html;2015;AB231A2F-0DDD-4756-BF0C-7C966994B61C
139303;;;;;;;;;;;"Entwicklung eines Outcome Calculators für sehr Frühgeborene: aufgrund pränatal erfassbarer Faktoren (Gestationsalter, fetales Gewicht, Geschlecht, Einging/Mehrling, Steroidexposition, Geburtsmodus) und dem auftreten einer Sepsis in der ersten Lebenswoche sollen Zentrums-spezifische Überlebenschancen und Überlebenschancen ohne schwerer neonatale Komplikationen zu drei Zeitpunkten berechnet werden (Gebärsaal, Eintritt NICU, Tag 7).
";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;02877BD2-7C14-44D3-ABAA-C0757D374018
139243;;;;;;;;;;;"Based on the research results, we have identified the most important questions informal caregivers are confronted with. For each question, a flyer was prepared, containing the question, an explanation, information and advice as well as addresses to get further information. The flyers, compiled in a brochure, are printed in German and in French and distributed free of charge to informal caregivers in the canton of Fribourg. ";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;7D405B16-7FCF-4C2F-B51C-F8DE9F2E345C
139243;;;;;;;;;;;"On the website of the association PA-F, the different service providers offering support and/or information for informal caregivers in the canton of Fribourg have been compiled. 
A PDF-document containing all the addresses and some supplementary information about the services offered has been prepared (in German and French).";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);http://www.pa-f.ch/fr/trouver-de-laide.html;;0662EE0D-DAE3-45E1-930B-1DD5FDFA5D7B
139255;;;;;;;;;;;"Schulungskonzept ""ACP Botschafter"", ""ACP Berater""";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);http://www.usz.ch/bildung/fort-weiterbildung/Seiten/default.aspx;;DF8F9CB4-C01B-471E-BFAB-9B8396C67C91
