Award_InvolvedPerson;Award_Title;Award_Year;AwardId;GrantNumber
Hefti, Katharina;Best Free Communication Award;2011;F3EBC1AB-3C2C-4D6E-AFE8-7908F13203F9;135414
Holst, Sebastian Camillo;Borbély-Hess Award;2015;BE17E33B-01C7-4CCF-8C10-ABF414A464C7;135414
"Cook, Stéphane; Giraud, Marie-Noëlle; Valentin, Jérèmy";"Best Poster Award Ines Borrego- AGLA and Cardiovascular biology meeting (5th edition) - Fribourg, Switzerland ";2016;BA42888A-4CB4-4E99-AEE7-14CACA18697B;149986
Righettoni, Marco;ETH Medal for outstanding Dissertation;2014;0F09CC75-973E-4725-9DCE-2AB041899C36;130582
Merkt, Frédéric;Elected Fellow of the American Physical Society (APS) “for outstanding contributions to the research of chemical physics, spectroscopy, and quantum dynamics of atomic and molecular Rydberg states and the related ions”, American Physical Society (APS), College Park (MD), USA, September 30, 2016;2016;1051C2E8-8F52-4492-8955-0D0876C66C06;149216
Rasmann, Sergio;"Facutly member Faculty Opnion ";2018;9F787449-536B-440F-9268-8033CE317367;179481
"Dorn, Caroline; Linde, Niklas";Best of Near Surface 2010, European Meeting of Environmental and Engineering Geophysics in Zurich;2011;BE028209-46D3-443E-BB03-86378492F875;124571
Hu, Xile;Homogeneous Catalysis Award, Royal Society of Chemistry;2019;D139879C-A902-4233-AC0C-314369419CE9;181977
"Graf, Rolf; Saponara, Enrica";Poster Award;2011;3B257AD7-E9CC-4C1E-9106-BC7FA037240E;129969
"Lathion, Timothée; Piguet, Claude";"2016	ACS Editors’Choice Paper 2016: ""Kinetics of Rh(II)-Catalyzed α-Diazo-β-ketoester Decomposition and Application to the [3+6+3+6] Synthesis of Macrocycles on a Large Scale and at Low Catalyst Loadings";2016;8DEF50B0-12BD-4B34-B9C0-3DD0720AAA0D;159881
